owner_category,owner_name,parcels,total_lot_acres,avg_lot_sqft,total_assessed_value,cities
1 Federal,UNITED STATES AMERICA,28,1371.1,2132972,0,"MOUNTAIN VIEW, PALO ALTO, SAN JOSE, SUNNYVALE"
1 Federal,UNITED STATES POSTAL SERVICE,18,79.7,192756,0,"CAMPBELL, CUPERTINO, PALO ALTO, SAN JOSE, SANTA CLARA"
1 Federal,USA,5,896.5,7810038,0,"MOUNTAIN VIEW, SUNNYVALE"
1 Federal,UNITED STATES AMER,2,292.6,6372913,0,"MOUNTAIN VIEW, SUNNYVALE"
1 Federal,VETERANS ADMINISTRATION,1,0.2,7500,867152,SAN JOSE
1 Federal,UNITED STATES OF,1,0.7,29621,0,SAN JOSE
1 Federal,UNITED STATES POSTAL SVC,1,1.9,82981,0,SAN JOSE
1 Federal,UNITED STATES POST SERVICE,1,1.4,61420,0,SANTA CLARA
2 Santa Clara County,SANTA CLARA COUNTY,284,12730.2,1957878,0,"CAMPBELL, CUPERTINO, MOUNTAIN VIEW, PALO ALTO, SAN JOSE, SANTA CLARA, SUNNYVALE"
2 Santa Clara County,COUNTY OF SANTA CLARA,64,966.1,657819,55872386,"CAMPBELL, CUPERTINO, SAN JOSE, SANTA CLARA, SUNNYVALE"
2 Santa Clara County,SANTA CLARA VTA,44,56.8,70990,0,"SAN JOSE, SANTA CLARA, SUNNYVALE"
2 Santa Clara County,SANTA CLARA COUNTY TRANSIT DIST,38,220.5,253766,0,"MOUNTAIN VIEW, SAN JOSE, SANTA CLARA, SUNNYVALE"
2 Santa Clara County,SANTA CLARA VALLEY WATER DISTR,26,1776.0,2976539,0,SAN JOSE
2 Santa Clara County,SANTA CLARA VALLEY TRANS AUTHORITY,17,23.0,58975,11307499,SAN JOSE
2 Santa Clara County,SANTA CLARA VALLEY WATER DISTRICT,12,6.7,24169,2141834,"CAMPBELL, CUPERTINO, SAN JOSE"
2 Santa Clara County,VALLEY WATER SANTA CLARA,11,3.4,16187,0,"MOUNTAIN VIEW, SAN JOSE"
2 Santa Clara County,SANTA CLARA COUNTY (CA),11,764.3,3026610,0,"CUPERTINO, MOUNTAIN VIEW, SAN JOSE"
2 Santa Clara County,SANTA CLARA VALLEY OPEN SPACE AUTHORITY,10,2572.8,11206931,0,SAN JOSE
2 Santa Clara County,SANTA CLARA COUNTY OPEN SPACE,9,571.1,2764269,0,SAN JOSE
2 Santa Clara County,SANTA CLARA VALLEY HABITAT AGENCY,8,2195.2,11952639,7425852,SAN JOSE
2 Santa Clara County,SANTA CLARA COUNTY HOUSING AUTHORIT,5,3.5,30384,11911166,SAN JOSE
2 Santa Clara County,SANTA CLARA COU TRANSIT DIST,5,4.8,42184,0,"MOUNTAIN VIEW, SAN JOSE"
2 Santa Clara County,SANTA CLARA VALLEY WATER DIST,5,14.9,129724,0,SAN JOSE
2 Santa Clara County,SANTA CLARA OPEN SPACE AUTHORI,3,543.2,7887844,0,SAN JOSE
2 Santa Clara County,SANTA CALRA VALLEY TRANS AUTHORITY,2,0.7,15560,0,SAN JOSE
