owner_category,owner_name,property_address,city,apn,lot_sqft,lot_acres,jurisdiction,zoning,property_use,assessed_land,assessed_improvement,assessed_total,improv_land_ratio,last_transfer_date,assessor_last_sale_date,lat,lon,score,score_reasons,source,current_use_web,current_use_source
3 Municipal,MILPITAS CITY,,SAN JOSE,088-22-005,213359,4.898,SANTA CLARA,R1,VACANT LAND,0,0,0,,,1989-02-06,37.423909,-121.865844,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
4 School / Public Ed,ROCK UNION S D ALUM,,SAN JOSE,484-26-084,186999,4.293,SANTA CLARA,R1B6,VACANT LAND,0,0,0,,,,37.360168,-121.825009,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1B6 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,659-03-031,180759,4.150,SANTA CLARA,R1,VACANT LAND,0,0,0,,2003-01-31,2003-01-31,37.313994,-121.764794,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,660-37-018,177840,4.083,SANTA CLARA,R1,VACANT LAND,0,0,0,,,1980-06-16,37.298211,-121.759147,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
4 School / Public Ed,UNION SCHOOL DISTRICT,5125 UNION AVE,SAN JOSE,421-20-027,165092,3.790,SANTA CLARA,R1-8,VACANT LAND,0,0,0,,,,37.245024,-121.932042,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1-8 +12,ATTOM taxassessor (Santa Clara County),"Vacant land, off-market; listed in City of San Jose Vacant Land Inventory (open data)",loopnet.com; sanjoseca.gov vacant-land-inventory
3 Municipal,CITY OF SAN JOSE,,SAN JOSE,249-64-010,159430,3.660,SANTA CLARA,R1,VACANT LAND,0,0,0,,2009-03-10,2009-03-10,37.357978,-121.873862,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
2 Santa Clara County,COUNTY OF SANTA CLARA,,SAN JOSE,230-37-037,158590,3.641,SANTA CLARA,R1-8,VACANT LAND,0,0,0,,2013-05-30,,37.353518,-121.907865,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1-8 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,499-05-014,145490,3.340,SANTA CLARA,R1-8P,VACANT LAND,0,0,0,,,1975-11-05,37.308377,-121.824068,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1-8P +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,455-54-080,142678,3.275,SANTA CLARA,R1,VACANT LAND,0,0,0,,,,37.280136,-121.87783,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,497-42-012,135472,3.110,SANTA CLARA,R1,VACANT LAND,0,0,0,,,1973-06-11,37.307797,-121.84037,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,,SAN JOSE,696-01-011,131116,3.010,SANTA CLARA,R140,VACANT LAND,0,0,0,,,1977-02-11,37.237226,-121.872056,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R140 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,THE STRAND AVE,SAN JOSE,577-46-027,125091,2.872,SANTA CLARA,R1-5P,VACANT LAND,0,0,0,,,1976-10-27,37.233265,-121.889182,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1-5P +12,ATTOM taxassessor (Santa Clara County),"UNVERIFIED — Almaden (95120), street has ~3 residential addresses; city 2.87ac R1-5P likely subdivision open-space/park; needs GIS/site check",redfin.com; neighborwho.com (no exact match)
3 Municipal,SAN JOSE CITY,THOMPSON CREEK CT,SAN JOSE,676-34-028,125010,0.000,SANTA CLARA,R1B8,VACANT LAND,0,0,0,,,1989-06-02,37.30833,-121.781269,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1B8 +12,ATTOM taxassessor (Santa Clara County),"Likely creek/trail open space — parcel follows Thompson Creek (Evergreen 95135); city Thompson Creek Trail runs here; probably creek buffer/open space, not buildable",sanjoseca.gov (Thompson Creek Trail)
3 Municipal,SUNNYVALE CITY,,SUNNYVALE,202-39-006,119203,2.737,SANTA CLARA,R1,VACANT LAND,0,0,0,,,1974-03-25,37.359537,-122.061723,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),,
3 Municipal,SAN JOSE CITY,5558 SAN FELIPE RD,SAN JOSE,660-07-027,116042,2.664,SANTA CLARA,R1,VACANT LAND,0,0,0,,2016-09-14,2016-09-14,37.284839,-121.761389,100,VACANT LAND +25; 1-5ac +12; owner +5; zoning R1 +12,ATTOM taxassessor (Santa Clara County),"Vacant land ~2.66ac, off-market (Redfin; acreage matches assessor); R1",redfin.com
